masterid,Имя,Фамилия,Специализация,Опыт_работы,Телефон
889,Ефрем,Петров,Архитектор,13,8 (616) 877-62-40
890,Гордей,Капустин,Доула,4,8 (250) 971-35-28
891,Аполлон,Цветкова,Кондитер,9,+7 (972) 125-59-58
892,Иларион,Яковлева,Флорист,18,8 670 785 5246
893,Татьяна,Крюков,Начальник склада,6,80318524625
894,Алексей,Агафонов,Жиловщик/Обвальщик,8,+7 728 860 2667
895,Павел,Рябова,Ботаник,6,8 (582) 799-9216
896,Зиновий,Ефремов,Инженер-механик,3,87348339394
897,Таисия,Боброва,Психотерапевт,9,+7 (619) 788-35-44
898,Адам,Мамонтова,Патологоанатом,14,8 (807) 642-4965
899,Митофан,Шестаков,Аккумуляторщик,18,+7 189 303 1454
900,Синклитикия,Смирнова,Флорист,20,+7 906 168 7689
901,Елена,Игнатова,Гранатомётчик,7,8 900 230 22 75
902,Раиса,Владимиров,Военный консультант,18,8 032 527 78 15
903,Антип,Горбунов,Диверсант,1,+7 569 696 2103
904,Елена,Панов,Эколог,3,+77588029272
905,Вениамин,Орлова,Невролог,6,+7 552 494 90 52
906,Орест,Попов,Переплётчик,6,8 078 868 11 18
907,Доброслав,Рябова,Печатник,3,8 582 868 93 53
908,Святослав,Симонова,Метранпаж,12,+7 (705) 461-54-13
909,Татьяна,Евдокимова,Тестировщик,9,+7 192 019 63 88
910,Нинель,Алексеев,Медник,13,8 (207) 780-25-14
911,Соломон,Гусев,Грузчик,18,+7 799 303 43 50
912,Элеонора,Воронов,Египтолог,16,8 392 109 89 24
913,Христофор,Ершов,Кабельщик,8,+7 543 604 53 10
914,Никон,Виноградов,Шахтёр,7,+7 242 479 3925
915,Панкратий,Жданов,Веб-интегратор,16,+7 (164) 176-0002
916,Милован,Фролов,Адвокат,15,+7 604 749 41 92
917,Наталья,Елисеев,Кинодраматург,8,+7 (737) 246-9000
918,Феликс,Исаева,Фотомодель,14,+7 (274) 827-96-43
919,Герасим,Шилова,Каптенармус,10,+7 (427) 702-65-64
920,Дементий,Красильникова,Дизайнер-конструктор,9,+7 287 096 59 72
921,Гостомысл,Фокин,Переводчик,4,8 444 283 9365
922,Майя,Ильина,Начальник штаба,17,+7 684 657 30 52
923,Богдан,Исаева,Дизайнер рекламы,12,8 (612) 710-59-71
924,Галактион,Борисова,Юрисконсульт,17,+7 854 775 2277
925,Адам,Зайцева,Эколог,12,8 715 910 7371
926,Каллистрат,Тетерин,Борт-инженер,13,+7 416 119 5264
927,Радим,Красильникова,Астрохимик,2,8 643 121 19 81
928,Эрнст,Терентьева,Оператор коллцентра,16,+7 079 092 1953
929,Трофим,Фомин,Морской пехотинец,5,+7 (082) 941-2317
930,Жанна,Хохлов,Машинистка,16,8 769 660 2515
931,Афиноген,Кузьмин,Механизатор,17,8 358 480 57 69
932,Степан,Филатов,Оториноларинголог,7,+7 613 702 0525
933,Лаврентий,Капустина,Танкист,2,83366066707
934,Милица,Михеев,Инженер-гидравлик,1,8 317 235 22 32
935,Пелагея,Коновалова,Военнослужащий,2,84780831840
936,Аверьян,Щукин,Продавец,10,8 739 239 75 06
937,Герасим,Носкова,Авиационный техник,17,+7 (824) 721-9258
938,Кирилл,Бирюкова,Гренадер,16,+7 909 117 8730
939,Андроник,Панфилов,Таможенник,4,+7 973 425 85 95
940,Касьян,Наумов,Изобретатр,8,8 226 555 44 71
941,Марфа,Носова,Композитор,8,8 (766) 502-39-19
942,Евстафий,Прохоров,Скульптор,5,+7 992 064 53 89
943,Марк,Виноградова,Медник,2,8 606 969 31 73
944,Кондратий,Кудрявцева,Флеболог,11,+7 (313) 567-4907
945,Вера,Максимов,Упаковщик,10,80486286728
946,Софон,Петрова,Инженер-конструктор,1,+7 (034) 941-59-82
947,Ираида,Суворова,Океанолог,14,+7 (909) 530-4842
948,Ратмир,Симонов,Военный юрист,13,8 920 559 0189
949,Раиса,Ковалева,Таможенник,20,+7 (211) 427-72-28
950,Савва,Зиновьев,Заряжающий,7,8 (424) 934-2323
951,Ефим,Терентьева,Выпускающий редактор,6,8 900 566 77 56
952,Аверьян,Коновалов,Донкерман,14,8 518 653 97 24
953,Будимир,Кудряшова,Геолог,1,86220546672
954,Кузьма,Мухин,Маклер биржевой,2,8 (334) 406-7947
955,Алексей,Антонов,Шкипер,11,+7 (935) 202-6267
956,Дмитрий,Афанасьева,Стоматолог,12,8 (945) 671-89-26
957,Соломон,Третьяков,Сыровар,17,8 524 299 5709
958,Леонид,Красильникова,Астроном,9,8 (329) 688-04-45
959,Платон,Сафонов,Инженер-электрик,4,+7 (365) 159-3587
960,Парамон,Калашникова,Кардиолог,9,8 (788) 092-29-85
961,Тимур,Исаева,Хирург,4,+72434416107
962,Светлана,Туров,Серпентолог,3,8 (946) 565-8215
963,Фома,Захаров,Дизайнер-конструктор,13,8 973 714 4730
964,Глеб,Шилов,Пчеловод,2,+7 354 760 6968
965,Парфен,Маслова,Кассир,19,8 718 223 94 44
966,Харлампий,Волкова,Флорист,9,+7 614 398 71 31
967,Федосий,Васильев,Военный дознаватель,11,+7 (610) 456-86-65
968,Глеб,Суворов,Почтальон,10,+7 430 011 93 69
969,Галина,Борисов,Хлопокороб,12,84251573045
970,Савва,Марков,Агроном,10,88409457187
971,Анастасия,Исаева,Квасник,12,8 (623) 696-5671
972,Наина,Афанасьев,Оператор машинного д,9,87851257680
973,Изот,Евсеева,Кондуктор,12,+7 658 593 4555
974,Марк,Суханова,Предприниматель,10,+7 075 778 3513
975,Каллистрат,Матвеева,Актёр,20,+7 (039) 099-1087
976,Доброслав,Зиновьева,Композитор,14,+7 258 294 9170
977,Авксентий,Овчинников,Искусствовед,4,+74780006044
978,Михаил,Силина,Экономист,19,+7 (471) 235-3524
979,Ираклий,Ершова,Каменотёс,10,8 (088) 204-33-87
980,Никодим,Буров,Таможенник,6,+7 861 347 97 25
981,Жанна,Бобылев,Пастух,17,+7 222 046 00 15
982,Варлаам,Антонов,Кузнец,9,8 467 969 3307
983,Тимур,Лапина,Инженер-строитель,17,8 (652) 818-64-04
984,Трифон,Галкина,Министр,16,8 (922) 713-7068
985,Мария,Андреева,Переводчик,10,8 (778) 974-12-60
986,Татьяна,Игнатова,Метеоролог,16,+7 348 924 38 85
987,Захар,Кулагин,Финансист,2,+7 (517) 239-9119
988,Митофан,Кабанова,Инженер-механик,19,+7 317 728 1834
989,Велимир,Белозеров,Гомеопат,16,+71634550711
990,Марфа,Новиков,Предприниматель,8,8 276 737 63 09
991,Савватий,Рыбакова,Повар,13,+78561090645
992,Валерьян,Кудряшова,Автослесарь,5,8 736 097 75 09
993,Алла,Овчинников,Изобретатр,15,+7 892 979 5549
994,Ратмир,Шарова,Таксист,17,8 (019) 625-6372
995,Селиверст,Бирюков,Татуировщик,6,+7 817 611 90 82
996,Галактион,Белов,Табунщик,2,+71852752771
997,Афиноген,Харитонова,Андролог,17,8 (725) 881-6999
998,Максимильян,Фадеева,Фальцовщик,18,+7 (524) 434-1259
999,Исидор,Молчанов,Инженер КИПиА,18,+7 164 031 2499
1000,Ратмир,Горшкова,Промышленный альпини,17,+7 (457) 926-8489
